Date,Temperature
2024-01-01,18
2024-01-02,19
2024-01-03,17
2024-01-04,20
2024-01-05,21
2024-01-06,22
2024-01-07,19
2024-01-08,20
2024-01-09,21
2024-01-10,23
2024-01-11,24
2024-01-12,22
2024-01-13,21
2024-01-14,20
2024-01-15,19
2024-01-16,18
2024-01-17,20
2024-01-18,21
2024-01-19,22
2024-01-20,23
2024-01-21,24
2024-01-22,25
2024-01-23,26
2024-01-24,24
2024-01-25,23
2024-01-26,22
2024-01-27,21
2024-01-28,20
2024-01-29,19
2024-01-30,18
2024-01-31,17
2024-02-01,18
2024-02-02,19
2024-02-03,17
2024-02-04,20
2024-02-05,21
2024-02-06,22
2024-02-07,19
2024-02-08,20
2024-02-09,21
2024-02-10,23
2024-02-11,24
2024-02-12,22
2024-02-13,21
2024-02-14,20
2024-02-15,19
2024-02-16,18
2024-02-17,20
2024-02-18,21
2024-02-19,22
2024-02-20,23
2024-02-21,24
2024-02-22,25
2024-02-23,26
2024-02-24,24
2024-02-25,23
2024-02-26,22
2024-02-27,21
2024-02-28,20
2024-02-29,19
2024-03-01,20
2024-03-02,21
2024-03-03,22
2024-03-04,23
2024-03-05,24
2024-03-06,25
2024-03-07,24
2024-03-08,23
2024-03-09,22
2024-03-10,21
2024-03-11,22
2024-03-12,23
2024-03-13,24
2024-03-14,25
2024-03-15,26
2024-03-16,27
2024-03-17,26
2024-03-18,25
2024-03-19,24
2024-03-20,23
2024-03-21,24
2024-03-22,25
2024-03-23,26
2024-03-24,27
2024-03-25,28
2024-03-26,27
2024-03-27,26
2024-03-28,25
2024-03-29,24
2024-03-30,23
2024-03-31,22
2024-04-01,23
2024-04-02,24
2024-04-03,25
2024-04-04,26
2024-04-05,27
2024-04-06,28
2024-04-07,29
2024-04-08,30
2024-04-09,31
2024-04-10,32
2024-04-11,33
2024-04-12,32
2024-04-13,31
2024-04-14,30
2024-04-15,29
2024-04-16,30
2024-04-17,31
2024-04-18,32
2024-04-19,33
2024-04-20,34
2024-04-21,35
2024-04-22,36
2024-04-23,35
2024-04-24,34
2024-04-25,33
2024-04-26,32
2024-04-27,31
2024-04-28,30
2024-04-29,29
2024-04-30,28
